"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.18937900,54.20731707,-0.54878049,-21.21951220
2.20943700,52.98780488,-0.12195122,-25.91463415
2.22949200,53.90243902,-6.95121951,-28.47560976
2.24955900,51.09756098,-8.84146341,-29.45121951
2.26961400,46.58536585,-2.31707317,-35.97560976
2.28967200,49.63414634,2.37804878,-41.64634146
2.30972800,59.57317073,2.68292683,-39.08536585
2.32979200,61.64634146,-1.89024390,-33.41463415
2.34987800,54.75609756,-2.98780488,-32.31707317
2.36994500,55.00000000,-1.21951220,-36.40243902
2.39000300,51.89024390,-6.21951220,-41.76829268
2.41006000,34.75609756,-14.63414634,-36.82926829
2.43011600,10.36585366,-17.92682927,-29.69512195
2.45021300,-3.71951220,-16.40243902,-26.21951220
2.47027100,-0.48780488,-7.56097561,-27.56097561
2.49032600,11.21951220,-2.50000000,-25.97560976
2.51038200,15.79268293,-6.15853659,-17.01219512
2.53043800,17.43902439,-11.64634146,-7.37804878
2.55050700,12.13414634,-11.34146341,-6.21951220
2.57056400,4.14634146,-7.19512195,-11.46341463
2.59062100,-7.07317073,-4.39024390,-17.74390244
2.61067900,-21.40243902,-8.65853659,-24.08536585
2.63073900,-40.36585366,-15.36585366,-30.24390244
2.65080600,-48.53658537,-25.12195122,-35.06097561
2.67086400,-44.45121951,-30.06097561,-36.89024390
2.69092100,-40.79268293,-21.52439024,-35.24390244
2.71097700,-40.24390244,-6.82926829,-32.62195122
2.73103300,-40.42682927,-0.60975610,-29.08536585
2.75111000,-46.09756098,1.28048780,-27.98780488
2.77117600,-54.69512195,-4.63414634,-29.26829268
2.79123400,-62.56097561,-13.41463415,-31.34146341
2.81129600,-68.29268293,-19.81707317,-32.74390244
2.83135300,-76.15853659,-16.34146341,-34.14634146
2.85142400,-77.68292683,-9.57317073,-33.10975610
2.87148200,-71.28048780,-12.98780488,-28.04878049
2.89153800,-74.93902439,-17.31707317,-24.93902439
2.91159400,-90.73170732,-17.86585366,-27.98780488
2.93165000,-108.71951220,-25.54878049,-32.37804878
2.95171100,-105.60975610,-27.50000000,-34.81707317
2.97177200,-96.52439024,-24.32926829,-33.47560976
2.99183000,-104.08536585,-21.40243902,-34.32926829
3.01188700,-120.42682927,-20.60975610,-36.89024390
3.03194400,-123.84146341,-22.37804878,-35.97560976
3.05201000,-114.14634146,-27.86585366,-28.90243902
3.07206600,-106.15853659,-28.90243902,-22.07317073
3.09212300,-94.20731707,-21.76829268,-17.50000000
3.11217900,-86.03658537,-16.34146341,-15.06097561
3.13223400,-88.96341463,-14.51219512,-15.36585366
3.15229600,-95.36585366,-15.54878049,-18.41463415
3.17235300,-94.63414634,-22.86585366,-19.69512195
3.19240900,-97.98780488,-28.23170732,-20.67073171
3.21246500,-109.75609756,-29.26829268,-21.34146341
3.23252100,-106.76829268,-27.68292683,-19.57317073
3.25258500,-100.24390244,-24.14634146,-18.17073171
3.27264300,-102.31707317,-23.10975610,-21.52439024
3.29270100,-106.09756098,-24.51219512,-25.30487805
3.31276000,-107.56097561,-30.06097561,-25.06097561
3.33281700,-114.39024390,-40.54878049,-23.78048780
3.35287800,-114.26829268,-36.34146341,-22.74390244
3.37294400,-106.46341463,-31.40243902,-21.82926829
3.39301100,-100.06097561,-23.35365854,-18.23170732
3.41306800,-97.92682927,-19.39024390,-14.08536585
3.43312300,-96.58536585,-24.39024390,-11.21951220
3.45321900,-104.02439024,-31.40243902,-9.08536585
3.47327600,-121.95121951,-31.82926829,-9.32926829
3.49333200,-135.48780488,-31.64634146,-14.45121951
3.51338800,-138.59756098,-30.97560976,-21.52439024
3.53344400,-135.06097561,-27.07317073,-18.41463415
3.55351100,-127.43902439,-22.86585366,-3.23170732
3.57356800,-113.96341463,-24.45121951,9.45121951
3.59362500,-106.70731707,-19.93902439,8.41463415
3.61368100,-109.63414634,-11.46341463,3.10975610
3.63373900,-118.17073171,-3.78048780,9.14634146
3.65380300,-107.19512195,-10.00000000,20.00000000
3.67386100,-92.07317073,-20.24390244,21.15853659
3.69391800,-95.91463415,-20.91463415,16.82926829
3.71397500,-86.03658537,-18.29268293,18.23170732
3.73403300,-69.26829268,-6.76829268,23.04878049
3.75409400,-61.64634146,7.74390244,27.98780488
3.77416700,-52.37804878,12.68292683,30.42682927
3.79438100,-40.06097561,5.85365854,31.58536585
3.81443900,-27.50000000,-0.85365854,31.15853659
3.83449500,-20.60975610,4.87804878,29.20731707
3.85458300,-19.14634146,14.51219512,26.15853659
3.87464000,-17.50000000,18.35365854,20.24390244
3.89469600,-19.57317073,13.59756098,21.28048780
3.91475200,-12.43902439,3.35365854,27.68292683
3.93480800,-5.60975610,-1.15853659,32.98780488
3.95487800,-1.34146341,-1.15853659,35.97560976
3.97493700,2.80487805,7.31707317,37.56097561
3.99499800,4.08536585,13.90243902,39.32926829
4.02606900,3.10975610,8.10975610,42.31707317
4.04613000,7.31707317,3.90243902,46.46341463
4.06618800,14.20731707,7.98780488,51.09756098
4.08624700,14.63414634,17.50000000,48.84146341
4.10630600,-0.48780488,30.18292683,36.34146341
4.12636200,-14.81707317,29.39024390,24.20731707
4.14641800,-15.67073171,20.91463415,23.53658537
4.16647500,-7.37804878,15.06097561,32.13414634
4.18653700,-4.57317073,9.63414634,31.76829268
4.20659500,-10.60975610,8.84146341,23.59756098
4.22665300,-12.92682927,13.71951220,18.84146341
4.24670900,-7.13414634,17.86585366,22.56097561
4.26677400,3.29268293,14.26829268,31.09756098
4.28683200,13.41463415,5.73170732,36.64634146
4.30689100,18.84146341,-4.45121951,39.20731707
4.32694800,24.93902439,-11.46341463,42.86585366
4.34700600,36.52439024,-17.74390244,49.02439024
4.36706800,48.23170732,-25.60975610,54.08536585
4.38713100,59.45121951,-36.03658537,57.19512195
4.40719500,68.04878049,-48.47560976,59.75609756
4.42726800,70.79268293,-52.01219512,61.70731707
4.44732500,72.56097561,-45.24390244,60.67073171
4.46741400,75.18292683,-31.03658537,54.69512195
4.48747000,75.73170732,-24.20731707,44.39024390
4.50752700,69.45121951,-27.25609756,32.92682927
4.52758300,62.80487805,-27.31707317,21.40243902
4.54763900,56.89024390,-28.29268293,13.35365854
4.56770600,52.43902439,-29.81707317,9.32926829
