"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.14925000,-1.10097902,7.68291884,6.08889269
2.16931500,-0.98130739,7.57760780,5.90220494
2.18937900,-0.86163576,7.32390394,5.90699180
2.20943700,-1.08183156,7.37177259,5.94528673
2.22949200,-1.32596169,7.56803407,5.80646763
2.24955900,-1.05789724,7.47229676,5.11715903
2.26961400,-0.89035695,7.16115052,5.16024082
2.28967200,-1.51743631,7.63505019,5.61020616
2.30972800,-2.03441776,8.38180118,5.56233750
2.32979200,-2.12536820,8.72166861,4.88738949
2.34987800,-1.85251688,8.80783219,4.35126058
2.36994500,-1.79028763,8.35786685,4.89217636
2.39000300,-2.40779326,9.20514201,4.66719369
2.41006000,-2.95349590,10.54067743,3.75290241
2.43011600,-2.80510308,10.38271088,3.42739557
2.45021300,-2.41258012,9.49235393,3.90608210
2.47027100,-2.28812162,8.79347159,4.44699788
2.49032600,-2.93913531,9.36310857,4.90175009
2.51038200,-3.43696930,10.07156463,4.78207845
2.53043800,-3.13060992,9.88009002,4.26031013
2.55050700,-2.62798906,9.26258439,3.76726301
2.57056400,-2.34077714,8.82219278,3.56621466
2.59062100,-2.35035087,8.64986563,3.84863972
2.61067900,-2.52267802,8.79347159,3.85821345
2.63073900,-2.64713652,8.74560294,4.10234358
2.65080600,-2.77159502,8.46796475,4.62411190
2.67086400,-2.65192339,8.31957193,4.45178475
2.69092100,-2.52267802,8.38180118,4.00181941
2.71097700,-2.73808696,8.57806265,3.98745881
2.73103300,-3.01093829,8.57327579,4.54273519
2.75111000,-3.03487261,8.42488296,4.64325936
2.77117600,-3.11146246,8.18553970,5.02142172
2.79123400,-3.12582305,8.15203164,5.09801157
2.81129600,-3.03965948,8.03714687,4.91611068
2.83135300,-2.92956158,7.79301674,4.68155428
2.85142400,-3.29336334,7.71642690,5.58627183
2.87148200,-3.56621466,7.65898451,5.86391002
2.89153800,-3.52313288,7.41964125,5.93571300
2.91159400,-3.40346124,7.15157679,5.72509092
2.93165000,-3.53270661,6.80213562,6.48141564
2.95171100,-3.36995319,6.04581090,7.28560902
2.97177200,-3.34601886,6.01230284,7.08934754
2.99183000,-3.34601886,6.00272911,6.52449743
3.01188700,-3.32208453,5.35650229,6.99361023
3.03194400,-3.53270661,4.89696322,8.06108120
3.05201000,-3.56142780,4.68155428,8.25734268
3.07206600,-3.40824811,4.18850716,8.24298208
3.09212300,-3.33165826,3.72896808,8.48711221
3.11217900,-3.29815021,3.41303497,8.46317789
3.13223400,-3.23113409,3.16890484,8.37701431
3.15229600,-3.26942901,2.68543144,8.94186442
3.17235300,-3.19762603,2.35992460,9.28651872
3.19240900,-3.04444634,2.38864579,8.53019400
3.21246500,-2.99657769,1.97218851,8.62593131
3.23252100,-2.98221709,1.29245364,9.31523991
3.25258500,-2.74287383,0.79940651,9.28173186
3.27264300,-2.68543144,0.42603101,9.07589665
3.29270100,-2.62798906,0.16275342,9.28173186
3.31276000,-3.04923321,0.28242505,9.79871331
