"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.26961400,59.08124924,56.40625000,26.59375000
2.28967200,59.11249924,57.56874847,25.96875000
2.30972800,58.83750153,57.95000076,25.16250038
2.32979200,59.40625000,58.42499924,23.66250038
2.34987800,59.21875000,58.86875153,23.52499962
2.36994500,59.01874924,59.47499847,22.32500076
2.39000300,58.95000076,60.51250076,21.02499962
2.41006000,59.15000153,60.67499924,20.70624924
2.43011600,58.73749924,61.26250076,20.64374924
2.45021300,59.19374847,61.71875000,21.00000000
2.47027100,58.98749924,62.38124847,20.45624924
2.49032600,59.00624847,62.59375000,20.73125076
2.51038200,58.75624847,62.61875153,20.81875038
2.53043800,58.92499924,62.91249847,20.01874924
2.55050700,58.98125076,63.15000153,20.52499962
2.57056400,58.40000153,63.25624847,19.84375000
2.59062100,58.86875153,63.08750153,20.18124962
2.61067900,58.11249924,63.72499847,20.67499924
2.63073900,58.53125000,64.06874847,20.88125038
2.65080600,58.55625153,64.43750000,21.58124924
2.67086400,58.64374924,64.31250000,21.85000038
2.69092100,58.33124924,65.55000305,22.63750076
2.71097700,58.30625153,66.03749847,23.79375076
2.73103300,57.96875000,66.51249695,24.81875038
2.75111000,57.98749924,66.64375305,25.98125076
2.77117600,57.98749924,66.64375305,25.98125076
2.79123400,57.16875076,68.26875305,28.19375038
2.81129600,56.89374924,68.59375000,29.63125038
2.83135300,56.61249924,68.72499847,30.89374924
2.85142400,56.16249847,69.28749847,31.95000076
2.87148200,55.84999847,69.62500000,32.75624847
2.89153800,55.30625153,70.09999847,34.45624924
2.91159400,54.88750076,70.20625305,35.90000153
2.93165000,54.16875076,70.67500305,37.62500000
2.95171100,53.25000000,70.86250305,39.45624924
2.97177200,52.66249847,71.09375000,40.70624924
2.99183000,51.71250153,71.54374695,42.10625076
3.01188700,50.45624924,71.38124847,44.21875000
3.03194400,49.57500076,71.78125000,46.31250000
3.05201000,47.76250076,72.00000000,47.51250076
3.07206600,47.09375000,72.12500000,49.04375076
3.09212300,46.01250076,71.98124695,50.62500000
3.11217900,45.20000076,71.94374847,51.41249847
3.13223400,44.17499924,71.69374847,53.13124847
3.15229600,42.84999847,72.02500153,53.71875000
3.17235300,41.94374847,72.01249695,54.87500000
3.19240900,40.53125000,71.75624847,55.86875153
3.21246500,39.48749924,72.05625153,57.17499924
3.23252100,37.88124847,71.54374695,58.56250000
3.25258500,36.74375153,71.30625153,59.63124847
3.27264300,35.13124847,71.28749847,60.45000076
3.29270100,33.46875000,71.09999847,61.48749924
3.31276000,32.03125000,70.66874695,62.24375153
3.33281700,29.68750000,70.53749847,63.40625000
3.35287800,28.19375038,69.71875000,64.02500153
3.37294400,26.76874924,69.79374695,64.71875000
3.39301100,24.93750000,69.31250000,65.15625000
3.41306800,23.25625038,68.55625153,65.46250153
3.43312300,22.31875038,68.63749695,66.09375000
3.45321900,20.39374924,68.64375305,67.07499695
3.47327600,18.67499924,68.36250305,67.13749695
3.49333200,16.50000000,67.27500153,68.07499695
3.51338800,16.50000000,67.27500153,68.07499695
3.53344400,10.01875019,66.33750153,68.58750153
3.55351100,7.91249990,65.99375153,68.05000305
3.57356800,6.56874990,65.96250153,68.04374695
3.59362500,4.81250000,66.03125000,68.26249695
3.61368100,2.88750005,65.58750153,67.63124847
3.63373900,1.06875002,65.60624695,67.14375305
3.65380300,-0.21875000,65.63749695,66.68750000
3.67386100,-1.63750005,65.05000305,66.34375000
3.69391800,-2.71250010,65.07499695,66.16249847
3.71397500,-4.23750019,64.97499847,65.76249695
3.73403300,-5.08750010,64.93125153,65.65625000
3.75409400,-6.15000010,65.38749695,64.75624847
3.77416700,-6.17500019,65.60624695,64.69999695
3.79438100,-6.59375000,65.88749695,64.36250305
3.81443900,-6.98124981,66.23124695,64.15625000
3.83449500,-7.22499990,66.59375000,63.87500000
3.85458300,-7.41874981,66.78125000,63.59375000
3.87464000,-7.42500019,67.24375153,63.29999924
3.89469600,-7.54374981,67.54374695,63.29999924
3.91475200,-7.81250000,67.50000000,63.04375076
3.93480800,-7.52500010,68.04374695,63.03125000
3.95487800,-7.45625019,67.90000153,63.23749924
3.97493700,-7.24375010,68.50000000,62.74375153
